"Age","Weight","RunPulse","Oxygen"
44,89.47,178,44.609
44,85.84,156,54.297
38,89.02,178,49.874
40,75.98,176,45.681
44,81.42,174,39.442
44,73.03,168,50.541
45,66.45,176,44.754
54,83.12,166,51.855
51,69.63,168,40.836
48,91.63,162,46.774
57,73.37,174,39.407
52,76.32,164,45.441
51,67.25,172,45.118
51,73.71,186,45.79
49,76.32,186,48.673
52,82.78,170,47.467
40,75.07,185,45.313
42,68.15,166,59.571
47,77.45,176,44.811
43,81.19,162,49.091
38,81.87,170,60.055
45,87.66,186,37.388
47,79.15,162,47.273
49,81.42,180,49.156
51,77.91,162,46.672
49,73.37,168,50.388
54,79.38,156,46.08
50,70.87,146,54.625
54,91.63,168,39.203
57,59.08,148,50.545
48,61.24,170,47.92
