Letter,B,C,D,F,G,H,J,K,L,M,N,P,Q,R,S,T,V,W,X,Z
B,0,3,7,3,7,5,5,4,4,0,5,5,2,5,12,4,12,3,3,4
C,3,0,5,5,12,2,8,3,8,2,2,3,9,4,9,1,3,1,1,7
D,7,5,0,7,2,4,5,2,5,3,4,7,20,8,5,3,4,5,5,4
F,3,5,7,0,2,4,3,4,6,2,1,15,2,7,6,7,6,4,4,9
G,7,12,2,2,0,3,3,2,1,2,1,0,9,1,7,2,0,2,0,5
H,5,2,4,4,3,0,10,4,10,19,18,9,1,10,3,9,2,5,5,5
J,5,8,5,3,3,10,0,3,9,3,3,9,1,3,4,3,1,2,3,1
K,4,3,2,4,2,4,3,0,3,2,2,2,1,1,1,4,2,5,5,0
L,4,8,5,6,1,10,9,3,0,5,3,3,3,2,6,15,8,4,10,6
M,0,2,3,2,2,19,3,2,5,0,16,1,2,2,1,1,3,18,1,5
N,5,2,4,1,1,18,3,2,3,16,0,8,5,8,7,7,4,13,3,6
P,5,3,7,15,0,9,9,2,3,1,8,0,4,11,4,5,4,3,4,5
Q,2,9,20,2,9,1,1,1,3,2,5,4,0,8,7,2,4,4,2,1
R,5,4,8,7,1,10,3,1,2,2,8,11,8,0,4,3,4,3,4,10
S,12,9,5,6,7,3,4,1,6,1,7,4,7,4,0,9,5,5,13,4
T,4,1,3,7,2,9,3,4,15,1,7,5,2,3,9,0,10,8,10,14
V,12,3,4,6,0,2,1,2,8,3,4,4,4,4,5,10,0,8,6,4
W,3,1,5,4,2,5,2,5,4,18,13,3,4,3,5,8,8,0,4,3
X,3,1,5,4,0,5,3,5,10,1,3,4,2,4,13,10,6,4,0,4
Z,4,7,4,9,5,5,1,0,6,5,6,5,1,10,4,14,4,3,4,0
