"","Year","Number","log.Number"
"1",1983,62,4.120296
"2",1984,86,4.45302765358579
"3",1985,54,3.98130866712885
"4",1986,108,4.67299030646823
"5",1987,129,4.85904494114558
"6",1988,435,6.07310230020334
"7",1989,288,5.66252945259666
"8",1990,338,5.82215985004084
"9",1991,391,5.96672080345587
"10",1992,265,5.57838261045223
"11",1993,1172,7.06624922489596
"12",1994,1501,7.31329716449211
"13",1995,302,5.70834579373528
"14",1996,981,6.88852286312367
"15",1997,680,6.52159384163052
"16",1998,4534,8.41932453508207
"17",1999,5920,8.68596642503907
"18",2000,3424,8.138376
"19",2001,2516,7.83009822292091
"20",2002,3514,8.164299
